MachineID,ReadingTime,Temperature,Pressure,Flow,Vibration
P101,2026-08-04 20:00:00,73.93,78.05,78.42,2.84
P101,2026-08-04 21:00:00,68.7,100.51,132.64,2.91
P101,2026-08-04 22:00:00,77.32,97.75,129.54,2.24
P101,2026-08-04 23:00:00,70.74,97.36,134.77,2.49
P101,2026-08-05 00:00:00,75.65,91.81,117.88,3.46
P101,2026-08-05 01:00:00,58.05,79.44,93.32,0.93
P101,2026-08-05 02:00:00,67.25,103.99,114.87,2.96
P101,2026-08-05 03:00:00,79.62,110.93,118.76,3.88
P101,2026-08-05 04:00:00,72.64,84.95,109.3,1.62
P101,2026-08-05 05:00:00,65.78,90.7,134.46,4.18
P101,2026-08-05 06:00:00,62.32,99.71,101.27,3.18
P101,2026-08-05 07:00:00,71.08,73.03,136.71,2.32
P101,2026-08-05 08:00:00,68.26,82.16,108.22,3.14
P101,2026-08-05 09:00:00,70.68,98.94,126.51,3.86
P101,2026-08-05 10:00:00,69.6,77.28,139.21,2.53
P101,2026-08-05 11:00:00,79.8,99.6,117.64,3.08
P101,2026-08-05 12:00:00,85.66,119.92,121.25,2.93
P101,2026-08-05 13:00:00,79.53,84.85,126.0,2.78
P101,2026-08-05 14:00:00,74.2,85.0,91.39,1.14
P101,2026-08-05 15:00:00,64.18,89.5,114.72,4.35
P101,2026-08-05 16:00:00,79.74,83.45,126.26,2.47
P101,2026-08-05 17:00:00,70.01,97.22,131.15,2.53
P101,2026-08-05 18:00:00,79.45,81.3,120.11,4.88
P101,2026-08-05 19:00:00,73.56,112.2,121.65,3.26
P101,2026-08-05 20:00:00,71.6,92.96,105.97,3.14
P101,2026-08-05 21:00:00,66.04,102.99,139.54,3.09
P101,2026-08-05 22:00:00,70.0,100.45,114.44,3.55
P101,2026-08-05 23:00:00,59.18,90.97,84.17,1.6
P101,2026-08-06 00:00:00,81.55,105.74,107.05,1.6
P101,2026-08-06 01:00:00,51.25,88.48,163.57,3.15
P101,2026-08-06 02:00:00,68.08,100.58,91.9,2.56
P101,2026-08-06 03:00:00,72.7,93.97,134.23,3.08
P101,2026-08-06 04:00:00,76.68,86.74,136.16,4.1
P101,2026-08-06 05:00:00,65.21,84.35,144.04,2.65
P101,2026-08-06 06:00:00,81.83,89.69,146.19,2.91
P101,2026-08-06 07:00:00,73.81,113.78,113.49,2.05
P101,2026-08-06 08:00:00,68.86,100.43,91.82,3.31
P101,2026-08-06 09:00:00,68.23,108.77,76.9,2.17
P101,2026-08-06 10:00:00,60.19,85.09,124.46,2.66
P101,2026-08-06 11:00:00,70.23,93.09,123.66,1.99
P101,2026-08-06 12:00:00,76.95,102.95,126.93,3.25
P101,2026-08-06 13:00:00,74.07,119.42,118.43,2.55
P101,2026-08-06 14:00:00,66.73,82.61,97.6,2.09
P101,2026-08-06 15:00:00,71.51,99.01,120.92,2.19
P101,2026-08-06 16:00:00,78.3,103.87,117.13,2.28
P101,2026-08-06 17:00:00,75.84,97.26,93.93,2.75
P101,2026-08-06 18:00:00,73.83,84.2,123.42,1.64
P101,2026-08-06 19:00:00,81.35,109.98,115.45,3.09
P101,2026-08-06 20:00:00,55.13,81.12,114.71,1.94
P101,2026-08-06 21:00:00,77.0,118.97,98.82,2.13
P101,2026-08-06 22:00:00,73.65,114.33,98.0,3.0
P101,2026-08-06 23:00:00,84.75,75.18,96.94,2.46
P101,2026-08-07 00:00:00,68.36,104.75,124.35,1.38
P101,2026-08-07 01:00:00,75.61,88.07,142.94,2.3
P101,2026-08-07 02:00:00,67.54,101.49,133.73,3.16
P101,2026-08-07 03:00:00,60.2,101.46,101.38,2.99
P101,2026-08-07 04:00:00,62.03,100.36,105.48,1.77
P101,2026-08-07 05:00:00,77.0,97.9,108.95,3.96
P101,2026-08-07 06:00:00,68.92,95.39,124.84,2.3
P101,2026-08-07 07:00:00,75.3,88.6,112.59,3.89
P101,2026-08-07 08:00:00,64.72,66.05,149.0,4.84
P101,2026-08-07 09:00:00,69.16,71.76,114.41,2.57
P101,2026-08-07 10:00:00,70.67,,130.43,3.22
P101,2026-08-07 11:00:00,61.54,103.39,156.95,2.94
P101,2026-08-07 12:00:00,69.64,93.3,131.07,1.42
P101,2026-08-07 13:00:00,73.15,90.31,153.26,2.66
P101,2026-08-07 14:00:00,83.68,163.15,130.57,3.06
P101,2026-08-07 15:00:00,65.92,97.13,141.83,2.54
P101,2026-08-07 16:00:00,60.16,94.79,103.76,2.53
P101,2026-08-07 17:00:00,71.43,74.53,90.92,3.19
P101,2026-08-07 18:00:00,68.34,64.22,134.13,3.02
P101,2026-08-07 19:00:00,124.89,79.2,135.04,3.08
P101,2026-08-07 20:00:00,88.68,100.04,126.98,2.67
P101,2026-08-07 21:00:00,77.72,102.5,142.53,2.38
P101,2026-08-07 22:00:00,68.95,89.25,134.23,4.0
P101,2026-08-07 23:00:00,115.58,89.9,125.65,2.6
P101,2026-08-08 00:00:00,78.66,67.98,105.12,2.17
P101,2026-08-08 01:00:00,55.76,83.44,103.53,2.64
P101,2026-08-08 02:00:00,79.79,92.06,101.45,2.75
P101,2026-08-08 03:00:00,79.34,83.29,103.61,3.25
P101,2026-08-08 04:00:00,70.45,102.77,119.75,3.36
P101,2026-08-08 05:00:00,64.75,94.85,116.21,1.83
P101,2026-08-08 06:00:00,61.06,103.23,113.68,1.98
P101,2026-08-08 07:00:00,71.33,108.54,78.95,1.6
P101,2026-08-08 08:00:00,65.54,112.53,125.09,3.41
P101,2026-08-08 09:00:00,64.02,81.57,128.06,2.85
P101,2026-08-08 10:00:00,75.84,92.75,125.01,2.93
P101,2026-08-08 11:00:00,77.44,104.68,90.84,1.0
P101,2026-08-08 12:00:00,79.01,109.25,101.63,1.31
P101,2026-08-08 13:00:00,72.69,106.17,152.36,3.21
P101,2026-08-08 14:00:00,69.4,84.28,120.21,2.56
P101,2026-08-08 15:00:00,64.89,119.59,152.13,3.71
P101,2026-08-08 16:00:00,65.55,105.26,131.51,3.15
P101,2026-08-08 17:00:00,80.75,102.62,133.32,3.31
P101,2026-08-08 18:00:00,74.39,73.6,121.51,2.36
P101,2026-08-08 19:00:00,63.04,115.18,151.12,3.89
P101,2026-08-08 20:00:00,73.79,111.21,120.22,2.96
P101,2026-08-08 21:00:00,64.35,99.76,121.09,1.76
P101,2026-08-08 22:00:00,71.64,94.04,152.36,3.52
P101,2026-08-08 23:00:00,72.08,97.99,120.8,2.64
P101,2026-08-09 00:00:00,64.42,93.19,106.57,1.8
P101,2026-08-09 01:00:00,75.58,99.7,87.84,2.7
P101,2026-08-09 02:00:00,78.97,107.71,138.47,2.83
P101,2026-08-09 03:00:00,66.08,82.0,126.2,3.1
P101,2026-08-09 04:00:00,81.01,108.2,117.62,1.8
P101,2026-08-09 05:00:00,69.77,97.61,116.36,2.34
P101,2026-08-09 06:00:00,73.77,88.95,108.69,3.05
P101,2026-08-09 07:00:00,69.19,97.93,124.92,1.89
P101,2026-08-09 08:00:00,68.63,112.25,99.08,1.11
P101,2026-08-09 09:00:00,58.97,95.35,120.56,2.71
P101,2026-08-09 10:00:00,80.5,62.93,127.13,7.15
P101,2026-08-09 11:00:00,64.11,90.44,106.45,2.08
P101,2026-08-09 12:00:00,69.72,112.13,153.07,2.53
P101,2026-08-09 13:00:00,85.34,95.43,151.57,2.73
P101,2026-08-09 14:00:00,72.92,99.39,177.22,3.48
P101,2026-08-09 15:00:00,67.05,106.63,113.49,2.41
P101,2026-08-09 16:00:00,78.36,95.37,125.01,2.81
P101,2026-08-09 17:00:00,74.36,,85.13,3.33
P101,2026-08-09 18:00:00,65.13,77.69,118.95,2.87
P101,2026-08-09 19:00:00,67.15,104.97,95.84,2.47
P101,2026-08-09 20:00:00,67.91,94.44,125.02,1.99
P101,2026-08-09 21:00:00,77.07,95.76,85.94,1.23
P101,2026-08-09 22:00:00,71.91,92.35,118.14,2.78
P101,2026-08-09 23:00:00,73.58,106.37,100.0,1.86
P101,2026-08-10 00:00:00,64.35,98.47,142.41,2.45
P101,2026-08-10 01:00:00,54.49,74.55,105.01,2.35
P101,2026-08-10 02:00:00,69.14,95.46,114.39,3.64
P101,2026-08-10 03:00:00,67.27,84.65,128.62,1.57
P101,2026-08-10 04:00:00,74.73,96.23,117.35,4.07
P101,2026-08-10 05:00:00,67.64,119.72,115.94,1.78
P101,2026-08-10 06:00:00,,82.09,106.47,3.12
P101,2026-08-10 07:00:00,75.89,87.53,137.77,3.73
P101,2026-08-10 08:00:00,82.05,101.35,144.54,1.3
P101,2026-08-10 09:00:00,69.77,84.6,122.15,2.34
P101,2026-08-10 10:00:00,70.84,117.59,116.95,3.13
P101,2026-08-10 11:00:00,70.37,95.91,120.11,3.16
P101,2026-08-10 12:00:00,80.16,114.77,125.57,3.27
P101,2026-08-10 13:00:00,63.94,93.95,136.93,3.49
P101,2026-08-10 14:00:00,73.48,105.64,128.83,3.76
P101,2026-08-10 15:00:00,74.03,90.73,126.05,0.46
P101,2026-08-10 16:00:00,74.68,51.22,88.98,3.16
P101,2026-08-10 17:00:00,75.34,81.05,107.18,3.9
P101,2026-08-10 18:00:00,68.61,121.92,119.97,3.13
P101,2026-08-10 19:00:00,83.32,96.57,101.96,2.71
P101,2026-08-10 20:00:00,71.75,78.62,115.4,2.21
P101,2026-08-10 21:00:00,78.47,95.42,114.91,2.72
P101,2026-08-10 22:00:00,73.56,102.4,102.01,1.97
P101,2026-08-10 23:00:00,79.73,90.05,94.5,3.16
P101,2026-08-11 00:00:00,75.24,76.63,124.13,3.39
P101,2026-08-11 01:00:00,74.62,102.58,94.72,3.06
P101,2026-08-11 02:00:00,69.88,89.21,135.67,3.98
P101,2026-08-11 03:00:00,84.56,110.78,118.02,3.08
P101,2026-08-11 04:00:00,77.37,96.45,122.35,3.46
P101,2026-08-11 05:00:00,71.59,86.25,112.54,3.31
P101,2026-08-11 06:00:00,72.02,99.08,132.06,2.5
P101,2026-08-11 07:00:00,77.29,99.55,97.77,3.95
P101,2026-08-11 08:00:00,68.49,75.14,101.19,1.98
P101,2026-08-11 09:00:00,72.37,91.71,113.94,3.3
P101,2026-08-11 10:00:00,74.38,98.79,127.38,3.29
P101,2026-08-11 11:00:00,57.24,90.63,80.76,2.83
P101,2026-08-11 12:00:00,71.97,107.55,141.38,2.96
P101,2026-08-11 13:00:00,68.5,100.82,110.5,2.8
P101,2026-08-11 14:00:00,78.9,88.31,134.5,3.34
P101,2026-08-11 15:00:00,65.32,106.69,132.57,2.88
P101,2026-08-11 16:00:00,66.66,84.69,110.32,3.23
P101,2026-08-11 17:00:00,65.31,100.25,97.65,2.64
P101,2026-08-11 18:00:00,72.77,124.34,95.21,3.98
P101,2026-08-11 19:00:00,73.05,99.93,122.13,3.16
P101,2026-08-11 20:00:00,70.92,112.45,111.78,3.71
P101,2026-08-11 21:00:00,67.49,94.28,100.7,3.16
P101,2026-08-11 22:00:00,82.12,94.07,116.46,1.91
P101,2026-08-11 23:00:00,70.39,75.89,103.57,2.98
P101,2026-08-12 00:00:00,81.23,128.71,109.44,3.95
P101,2026-08-12 01:00:00,73.71,93.19,127.79,2.85
P101,2026-08-12 02:00:00,72.77,,94.83,1.57
P101,2026-08-12 03:00:00,76.57,91.68,109.27,2.81
P101,2026-08-12 04:00:00,77.56,97.16,108.19,3.78
P101,2026-08-12 05:00:00,83.05,100.93,137.53,3.79
P101,2026-08-12 06:00:00,79.91,102.37,130.77,3.22
P101,2026-08-12 07:00:00,64.32,103.41,95.6,2.16
P101,2026-08-12 08:00:00,81.12,105.08,146.77,2.58
P101,2026-08-12 09:00:00,63.93,92.11,121.84,2.86
P101,2026-08-12 10:00:00,79.94,90.66,126.34,2.01
P101,2026-08-12 11:00:00,75.15,95.04,106.5,2.61
P101,2026-08-12 12:00:00,70.71,91.76,151.88,2.72
P101,2026-08-12 13:00:00,70.29,69.83,103.9,2.59
P101,2026-08-12 14:00:00,67.2,111.58,117.03,3.83
P101,2026-08-12 15:00:00,72.43,95.45,118.4,2.8
P101,2026-08-12 16:00:00,84.03,67.16,83.97,2.37
P101,2026-08-12 17:00:00,72.1,103.28,128.52,2.49
P101,2026-08-12 18:00:00,79.13,107.36,123.31,3.57
P101,2026-08-12 19:00:00,73.91,88.26,132.56,2.89
P101,2026-08-12 20:00:00,72.01,112.68,75.88,1.67
P101,2026-08-12 21:00:00,63.69,90.64,115.42,1.59
P101,2026-08-12 22:00:00,65.1,84.67,164.23,4.24
P101,2026-08-12 23:00:00,69.12,90.64,99.31,1.27
P101,2026-08-13 00:00:00,71.18,83.03,118.47,1.52
P101,2026-08-13 01:00:00,66.67,96.78,126.59,3.13
P101,2026-08-13 02:00:00,62.76,105.26,105.6,3.31
P101,2026-08-13 03:00:00,71.93,78.48,114.31,3.09
P101,2026-08-13 04:00:00,76.29,93.31,147.57,3.61
P101,2026-08-13 05:00:00,70.2,104.0,154.81,4.37
P101,2026-08-13 06:00:00,63.4,83.88,146.73,1.95
P101,2026-08-13 07:00:00,62.74,89.17,127.56,2.72
P101,2026-08-13 08:00:00,67.45,86.91,107.18,2.1
P101,2026-08-13 09:00:00,87.97,98.57,135.96,2.41
P101,2026-08-13 10:00:00,70.7,86.44,72.27,1.7
P101,2026-08-13 11:00:00,59.33,68.0,98.48,3.86
P101,2026-08-13 12:00:00,71.69,110.49,127.4,3.43
P101,2026-08-13 13:00:00,65.69,101.29,133.12,2.34
P101,2026-08-13 14:00:00,75.92,101.79,110.11,1.9
P101,2026-08-13 15:00:00,123.53,96.04,125.89,2.17
P101,2026-08-13 16:00:00,72.19,101.85,131.13,4.04
P101,2026-08-13 17:00:00,80.94,82.98,150.3,2.38
P101,2026-08-13 18:00:00,79.31,95.82,112.58,1.35
P101,2026-08-13 19:00:00,70.8,76.29,137.41,4.01
P101,2026-08-13 20:00:00,66.42,98.62,106.94,2.3
P101,2026-08-13 21:00:00,77.42,94.54,151.31,2.41
P101,2026-08-13 22:00:00,79.0,96.17,134.32,2.44
P101,2026-08-13 23:00:00,71.65,93.61,104.95,3.33
P101,2026-08-14 00:00:00,76.55,102.12,147.67,3.96
P101,2026-08-14 01:00:00,69.38,99.48,108.78,2.82
P101,2026-08-14 02:00:00,67.8,114.44,126.55,2.63
P101,2026-08-14 03:00:00,80.36,68.95,83.75,3.44
P101,2026-08-14 04:00:00,72.42,98.01,96.12,2.78
P101,2026-08-14 05:00:00,86.02,104.89,123.05,2.45
P101,2026-08-14 06:00:00,69.24,69.45,124.64,3.48
P101,2026-08-14 07:00:00,60.97,87.06,99.17,2.03
P101,2026-08-14 08:00:00,72.37,69.99,131.06,3.4
P101,2026-08-14 09:00:00,70.24,65.23,102.06,3.79
P101,2026-08-14 10:00:00,52.55,90.83,98.76,3.44
P101,2026-08-14 11:00:00,67.27,99.85,130.18,4.27
P101,2026-08-14 12:00:00,70.58,99.51,93.27,3.75
P101,2026-08-14 13:00:00,66.68,88.27,119.6,1.55
P101,2026-08-14 14:00:00,73.6,106.61,125.27,1.53
P101,2026-08-14 15:00:00,71.13,103.9,86.2,1.94
P101,2026-08-14 16:00:00,78.14,98.24,127.42,4.29
P101,2026-08-14 17:00:00,75.28,102.89,168.79,2.63
P101,2026-08-14 18:00:00,66.41,100.13,127.9,2.38
P101,2026-08-14 19:00:00,64.77,122.72,125.88,2.21
P101,2026-08-14 20:00:00,78.41,93.69,115.45,3.25
P101,2026-08-14 21:00:00,62.96,99.23,154.43,3.17
P101,2026-08-14 22:00:00,69.37,88.91,112.61,2.6
P101,2026-08-14 23:00:00,69.36,106.0,88.8,3.49
P102,2026-08-01 00:00:00,69.34,99.52,99.71,3.86
P102,2026-08-01 01:00:00,80.72,106.52,92.73,3.46
P102,2026-08-01 02:00:00,74.83,75.74,119.56,3.09
P102,2026-08-01 03:00:00,75.89,97.13,125.24,3.98
P102,2026-08-01 04:00:00,80.58,60.6,114.29,2.67
P102,2026-08-01 05:00:00,59.74,96.13,142.48,1.93
P102,2026-08-01 06:00:00,74.35,84.01,107.91,3.98
P102,2026-08-01 07:00:00,68.2,100.55,86.32,4.29
P102,2026-08-01 08:00:00,76.22,92.81,130.36,1.67
P102,2026-08-01 09:00:00,80.28,91.11,116.33,2.41
P102,2026-08-01 10:00:00,67.94,103.34,124.61,3.32
P102,2026-08-01 11:00:00,71.94,101.16,112.46,4.58
P102,2026-08-01 12:00:00,61.02,110.13,144.62,2.12
P102,2026-08-01 13:00:00,87.6,106.95,137.48,2.82
P102,2026-08-01 14:00:00,70.48,92.49,127.03,3.92
P102,2026-08-01 15:00:00,73.27,84.06,134.84,3.54
P102,2026-08-01 16:00:00,76.58,103.95,115.12,2.06
P102,2026-08-01 17:00:00,65.92,75.37,124.27,2.73
P102,2026-08-01 18:00:00,68.92,59.53,97.55,3.7
P102,2026-08-01 19:00:00,67.35,99.33,94.97,3.95
P102,2026-08-01 20:00:00,70.99,98.48,161.86,4.01
P102,2026-08-01 21:00:00,69.85,87.88,114.14,3.21
P102,2026-08-01 22:00:00,71.26,90.26,146.41,2.71
P102,2026-08-01 23:00:00,88.1,96.09,152.14,3.09
P102,2026-08-02 00:00:00,78.74,86.3,104.63,3.17
P102,2026-08-02 01:00:00,78.92,95.48,96.84,1.71
P102,2026-08-02 02:00:00,62.01,73.79,121.97,3.7
P102,2026-08-02 03:00:00,71.91,67.88,116.57,2.67
P102,2026-08-02 04:00:00,86.67,77.51,112.97,4.16
P102,2026-08-02 05:00:00,75.15,101.76,122.06,3.06
P102,2026-08-02 06:00:00,77.44,85.29,135.81,1.7
P102,2026-08-02 07:00:00,74.3,97.14,108.91,2.78
P102,2026-08-02 08:00:00,67.64,82.14,113.63,1.92
P102,2026-08-02 09:00:00,74.26,81.2,132.82,1.85
P102,2026-08-02 10:00:00,68.04,87.5,143.85,3.06
P102,2026-08-02 11:00:00,70.52,100.98,82.07,2.77
P102,2026-08-02 12:00:00,85.98,96.59,121.22,3.24
P102,2026-08-02 13:00:00,78.27,71.03,89.72,2.97
P102,2026-08-02 14:00:00,67.0,110.74,114.33,1.25
P102,2026-08-02 15:00:00,63.12,62.0,115.79,2.65
P102,2026-08-02 16:00:00,69.03,107.95,141.57,2.66
P102,2026-08-02 17:00:00,57.06,102.41,130.0,3.05
P102,2026-08-02 18:00:00,78.87,81.02,156.16,2.03
P102,2026-08-02 19:00:00,77.24,74.75,103.26,4.01
P102,2026-08-02 20:00:00,70.17,105.08,124.27,2.72
P102,2026-08-02 21:00:00,81.55,92.16,87.95,2.16
P102,2026-08-02 22:00:00,75.86,99.75,91.79,2.22
P102,2026-08-02 23:00:00,67.93,90.61,95.23,2.3
P102,2026-08-03 00:00:00,66.9,104.26,134.56,2.68
P102,2026-08-03 01:00:00,69.26,96.68,105.3,1.88
P102,2026-08-03 02:00:00,65.42,87.38,99.06,2.93
P102,2026-08-03 03:00:00,,75.95,120.45,2.62
P102,2026-08-03 04:00:00,74.39,94.84,93.84,1.79
P102,2026-08-03 05:00:00,72.21,107.35,80.14,3.08
P102,2026-08-03 06:00:00,80.33,93.16,129.9,2.24
P102,2026-08-03 07:00:00,71.16,75.55,77.8,3.55
P102,2026-08-03 08:00:00,65.11,89.53,95.04,1.67
P102,2026-08-03 09:00:00,70.78,86.25,126.8,3.16
P102,2026-08-03 10:00:00,74.25,97.86,148.4,1.95
P102,2026-08-03 11:00:00,71.62,108.59,142.76,1.66
P102,2026-08-03 12:00:00,69.81,111.3,129.15,2.96
P102,2026-08-03 13:00:00,70.48,90.39,125.19,2.6
P102,2026-08-03 14:00:00,71.7,95.94,107.79,3.23
P102,2026-08-03 15:00:00,92.4,73.68,125.83,2.19
P102,2026-08-03 16:00:00,76.04,95.56,133.71,3.74
P102,2026-08-03 17:00:00,73.35,108.58,77.8,4.07
P102,2026-08-03 18:00:00,74.63,107.93,98.04,2.14
P102,2026-08-03 19:00:00,73.02,94.8,125.1,3.67
P102,2026-08-03 20:00:00,59.64,106.69,120.15,2.64
P102,2026-08-03 21:00:00,61.7,101.04,76.55,3.32
P102,2026-08-03 22:00:00,61.56,95.64,117.85,3.74
P102,2026-08-03 23:00:00,70.75,86.67,110.88,3.82
P102,2026-08-04 00:00:00,75.75,90.37,115.74,1.55
P102,2026-08-04 01:00:00,74.72,73.88,133.53,2.9
P102,2026-08-04 02:00:00,88.71,81.8,118.15,4.24
P102,2026-08-04 03:00:00,80.34,86.65,124.03,2.8
P102,2026-08-04 04:00:00,73.97,86.62,118.39,1.52
P102,2026-08-04 05:00:00,72.95,100.4,115.91,1.51
P102,2026-08-04 06:00:00,78.92,99.37,106.93,2.58
P102,2026-08-04 07:00:00,61.5,82.7,110.32,3.78
P102,2026-08-04 08:00:00,67.52,102.68,110.31,3.0
P102,2026-08-04 09:00:00,71.01,105.48,110.37,1.54
P102,2026-08-04 10:00:00,62.33,88.62,97.52,3.13
P102,2026-08-04 11:00:00,68.74,123.5,88.72,2.96
P102,2026-08-04 12:00:00,64.1,89.08,122.55,0.94
P102,2026-08-04 13:00:00,73.66,117.83,111.84,3.01
P102,2026-08-04 14:00:00,79.17,93.03,109.54,0.98
P102,2026-08-04 15:00:00,76.49,93.64,101.77,2.9
P102,2026-08-04 16:00:00,67.91,88.66,130.91,1.73
P102,2026-08-04 17:00:00,79.33,78.23,108.07,4.34
P102,2026-08-04 18:00:00,79.89,96.17,103.07,2.38
P102,2026-08-04 19:00:00,72.51,95.45,118.36,2.78
P102,2026-08-04 20:00:00,70.5,77.7,110.7,3.53
P102,2026-08-04 21:00:00,62.42,92.73,105.24,2.89
P102,2026-08-04 22:00:00,69.28,112.73,129.12,1.75
P102,2026-08-04 23:00:00,76.7,85.7,109.61,3.05
P102,2026-08-05 00:00:00,68.56,105.71,106.06,2.3
P102,2026-08-05 01:00:00,104.16,88.21,139.79,3.3
P102,2026-08-05 02:00:00,83.97,122.21,101.45,2.86
P102,2026-08-05 03:00:00,63.77,85.67,108.66,1.95
